id,rating,review_content,likes,game_name,label
29366,2.0,真的不要太贱了吧，每回卡池没有五六十抽是出不来的，都[NUM]抽还不出贱不贱啊，什么十连双金我都不求了，四十抽出都做不到，太恶心了,3,重返未来1999,1
29568,1.0,雨中悬想就是一坨 玩你家游戏累得要死 从第三扇门开始全是坐牢游戏 游戏体验这么差，想都别想给你充钱，之前还觉得剧情做得好不想这么好的游戏倒闭 现在觉得活该,3,重返未来1999,1
29977,3.0,扣两星就是因为你游又肝又无聊还抠门,3,重返未来1999,1
29710,2.0,七十二抽一无所获，slhd你暗改梁月爆率[EMOJI],3,重返未来1999,1
29225,2.0,算是开服玩家吧，因为是学生所以平时不怎么登。个人感觉还是挺能肝的，来总结一下 优点：美术，画风好看，剧情也不错（虽然我全跳过），英配很有质感，游戏前期给的资源挺多的，肝度在二游还算正常，一些比较肝的东西打不打也无所谓，挂机大部分也是能打的。 缺点：强度膨胀太快了，角色不进专门配队打工基本过了几个版本就有上位了，官方也疑似装。卡牌玩法有些人可能不喜欢吧，比较无聊，还有就是游戏后期给的抽卡资源太少了，基本除了版本更新的主线就只能靠每日拿点雨滴了，你游强度膨胀又这么严重。。福利也是越做越抠了，本人零氪，新春版本什么皮肤都不能白嫖，跟之前巡游比不了一点。。还有那个迷思海不充点很难打过。角色塑造也是要的，有些角色要有了塑造机制才完整 e，这个抽卡爆率看个人吧，我自己决定还行吧，主播从没吃满大保底[EMOJI][EMOJI]（曲娘五发出，露西小保底双金，娜娜小保底三金，梁月四十九发二塑[EMOJI] ...,18,重返未来1999,1
29884,1.0,充和不充完全两个体验,3,重返未来1999,1
29750,2.0,超级推荐！ 从开服开始玩，一开始冲角色和画风去的，然后被剧情吸引住了，我一般玩游戏除了强制的都不看剧情，但[NUM]是我第一次在非强制的情况下看完了所有剧情。 美工很好，立绘和画面都有一种独特的韵味，很抓眼。 总之都还不错，很喜欢 二改 我不懂深蓝什么意思，一个个的数值爆炸怪，还全是限定，我这种不氪金的，还用总歪的基本每次都抽不到。 这根本就不是运气的问题，我 大号 在线时间多，肝的也多，深蓝就觉得我粘性大，大概率不会退游。天天让我大保底，天天歪是吧，我平时卡池歪，限定池也歪，哪次不是小保底歪。 我 小号 基本不上线，但每次抽卡都不歪，二三十抽就出一个，限定池更是一次都没歪过，我心里就很不平衡，深蓝你是就喜欢不常在线是吗，你这搞的我都很想退游了，大小号完全不同的待遇，你这态度让我很无语。 再说我朋友也常在线，她每次限定都十几二十抽出，每次池子就没歪过，我就想问问这不公平的待遇你想干嘛，一次...,8,重返未来1999,1
29855,1.0,你游真是纯纯吃石，策划运营都是一大坨，想赚钱想疯了。 我敢讲一大波开服的老玩家在你们吃相越来越难看的同时退坑。[NUM]也属于一个二游圈里比较有名的游戏了，也有一定的影响力。而你们能够置玩家的情怀不顾，只想着不断地推出新角色，整天琢磨怎么把新角色数值做高，以此让你们的流水好看点。现在数值膨胀得那能看？？为了恶心老玩家，新春活动还送随机六星，随机到原始人能用？你送一个自选六星会怎样？ 玩家们的话你们一点不听，玩家们的钱你们是狠狠赚，那么多玩家不管是集图鉴也好，xp也好，都是通过每天肝任务想抽喜欢的角色，而你们就在幕后默默地把出货率调低。疯魔操作。迟早要完。 希望更多玩家认清你游的真实面目，祝你游早点玩完。,4,重返未来1999,1
29794,1.0,抽卡体验真是一坨,6,重返未来1999,1
29287,2.0,美工，我给你五星！ 我爱星锑！ /不知不觉玩了一年了勒/ /已经退游几个月了/ 为什么退游感觉任务越来越多越来越像上班，版本一更新一大堆东西，这个游戏就不适合一直不间断玩很久懂吗,3,重返未来1999,1
